,genres,avg_rating,avg_seasons
375,"Comedy,Game-Show,Music",7.173046130384972,1.0
376,"Horror,Mystery,Reality-TV",7.194915254237291,1.0
377,"Documentary,News,War",7.1999999999999975,1.0
378,"Action,Fantasy,History",7.2,1.0
379,"Animation,Fantasy,Musical",7.2,1.0
380,"Biography,Drama,Sport",7.2,1.0
381,"Action,Sport",7.236407964241931,1.0
382,"Comedy,Crime,Family",7.255963302752277,1.0
383,"Family,Fantasy,Mystery",7.25869565217392,1.0
384,"Biography,Music",7.2621212121212295,1.0
385,"Family,Horror",7.262500000000005,1.0
386,"Adventure,Family,Western",7.273040752351078,1.0
387,"Animation,Horror",7.276824034334765,1.0
388,"Biography,Comedy,Horror",7.285294117647058,1.0
389,"Adventure,Biography,Comedy",7.287500000000004,1.0
390,"Fantasy,Western",7.299999999999998,1.0
391,"Documentary,Drama,Sci-Fi",7.3,1.0
392,"Documentary,Music,Musical",7.3,1.0
393,"Drama,Game-Show",7.3,1.0
394,"Drama,Horror,Western",7.3,1.0
395,"Documentary,Musical",7.343181818181816,1.0
396,"Comedy,Music,Musical",7.347086688772846,1.0
397,"Adventure,Documentary,Drama",7.353846153846153,1.0
398,"Documentary,Horror,Mystery",7.3607692307692245,1.0
399,"Drama,Musical,Talk-Show",7.373684210526311,1.0
400,"Documentary,Drama,Mystery",7.384615384615376,1.0
401,"Action,Crime,History",7.3999999999999995,1.0
402,"Animation,Comedy,Game-Show",7.400000000000003,1.0
403,"Crime,Fantasy,Mystery",7.418181818181816,1.0
404,"Adventure,Documentary,Reality-TV",7.419354838709651,1.0
405,"Adventure,Drama,Thriller",7.428169014084502,1.0
406,"Animation,Family,Music",7.433783783783772,1.0
407,"Adult,Drama,Romance",7.448669201520913,1.0
408,"Animation,Family,Game-Show",7.497358490566037,1.0
409,"Action,Biography,Comedy",7.5,1.0
410,"Action,Biography,Documentary",7.5,1.0
411,"Action,History,Reality-TV",7.5,1.0
412,"Animation,Documentary,Sci-Fi",7.5,1.0
413,"Biography,History,War",7.5,1.0
414,"Comedy,Documentary,Game-Show",7.5,1.0
415,"Family,Sci-Fi,Short",7.5,1.0
416,"Action,Adventure,Biography",7.534054054054053,1.0
417,"Action,Adventure,Horror",7.5649635036496505,1.0
418,"Adventure,Drama,Western",7.58026315789473,1.0
419,"Comedy,Crime,Fantasy",7.585802469135809,1.0
420,"Action,Drama,Western",7.590476190476189,1.0
421,"Action,Western",7.599009900990112,1.0
422,"Crime,Sci-Fi,Thriller",7.599999999999998,1.0
423,"Animation,Drama,Thriller",7.599999999999999,1.0
424,"Comedy,Sci-Fi,Western",7.599999999999999,1.0
425,"Action,Mystery,Thriller",7.6,1.0
426,"Biography,War",7.6,1.0
427,"Family,Game-Show,Horror",7.6,1.0
428,"History,Reality-TV,War",7.6,1.0
429,"Comedy,Documentary,Musical",7.6000000000000005,1.0
430,"Documentary,Horror,Sci-Fi",7.624999999999997,1.0
431,"Comedy,Horror,Thriller",7.625757575757581,1.0
432,"Action,Crime,Horror",7.6333333333333275,1.0
433,"Comedy,Musical,Short",7.64756097560976,1.0
434,"Action,Adventure,Documentary",7.6795180722891425,1.0
435,"Family,Game-Show,Sport",7.686666666666659,1.0
436,"Adventure,Animation,History",7.699999999999992,1.0
437,"Adventure,Romance,Sport",7.699999999999992,1.0
438,"News,Sport,War",7.699999999999992,1.0
439,"Animation,Sport,Thriller",7.6999999999999975,1.0
440,"Adventure,Drama,Sport",7.699999999999999,1.0
441,"Crime,Drama,Western",7.699999999999999,1.0
442,"Drama,Sport,Thriller",7.700000000000001,1.0
443,"Action,Adventure,War",7.700000000000002,1.0
444,"Biography,News,Talk-Show",7.711827956989257,1.0
445,"Comedy,Family,History",7.7351097178683315,1.0
446,"Romance,Western",7.75185185185185,1.0
447,"Game-Show,Reality-TV,Sport",7.779939209726423,1.0
448,"Documentary,Family,Reality-TV",7.789189189189176,1.0
449,"Romance,Sport",7.799999999999974,1.0
450,"Adventure,Family,Horror",7.799999999999998,1.0
451,"Fantasy,Horror,Romance",7.799999999999999,1.0
452,"Animation,Comedy,Crime",7.820768307322771,1.0
453,"Action,Crime,Fantasy",7.8324324324324435,1.0
454,"Action,Adventure,Mystery",7.841016949152538,1.0
455,"Adventure,War",7.862500000000002,1.0
456,"Documentary,Sci-Fi",7.875545851528362,1.0
457,"Animation,Comedy,Western",7.8849056603773455,1.0
458,"Documentary,History,Talk-Show",7.88600000000002,1.0
459,"Adventure,Family,Reality-TV",7.887628865979383,1.0
460,"Animation,Comedy,History",7.898275862068979,1.0
461,"Animation,Family,Western",7.8999999999999915,1.0
462,"Comedy,Game-Show,History",7.8999999999999995,1.0
463,"Comedy,Sci-Fi,Thriller",7.8999999999999995,1.0
464,"Documentary,Fantasy",7.8999999999999995,1.0
465,"Drama,History,Sci-Fi",7.8999999999999995,1.0
466,"Action,Adventure,Romance",7.9,1.0
467,"Comedy,Musical,Sci-Fi",7.9,1.0
468,"Action,Animation,War",7.900000000000001,1.0
469,"Biography,Comedy,Reality-TV",7.905128205128203,1.0
470,"Animation,Documentary,Drama",7.914285714285718,1.0
471,"Comedy,Drama,Horror",7.9152870090634275,1.0
472,"Documentary,Western",7.947232472324753,1.0
473,"Comedy,Documentary,Music",7.974704724409674,1.0
474,"Biography,Documentary,Sport",7.986923076923045,1.0
475,"Animation,Crime",8.0,1.0
476,"Comedy,Romance,Thriller",8.0,1.0
477,"Crime,Horror,Romance",8.0,1.0
478,"Comedy,Documentary,Sport",8.024999999999999,1.0
479,"Comedy,Musical,News",8.025000000000004,1.0
480,"Biography,History,Mystery",8.03877551020409,1.0
481,"Action,Documentary,War",8.052631578947375,1.0
482,"Comedy,History,Short",8.099999999999998,1.0
483,"Horror,Mystery,Romance",8.099999999999998,1.0
484,"Music,Mystery",8.099999999999998,1.0
485,"Adventure,Reality-TV,Sport",8.1,1.0
486,"Biography,Comedy,Music",8.1,1.0
487,"Biography,Comedy,Romance",8.1,1.0
488,"Biography,Drama,War",8.1,1.0
489,"Crime,History,Reality-TV",8.1,1.0
490,"Documentary,Drama,War",8.1,1.0
491,"Documentary,Sport,Talk-Show",8.1,1.0
492,"Fantasy,Short",8.1,1.0
493,"Adventure,Family,Thriller",8.113636363636365,1.0
494,"Comedy,Family,Talk-Show",8.129911816578485,1.0
495,"Adventure,Documentary,Family",8.14223034734919,1.0
496,"Documentary,Family,History",8.158598726114665,1.0
497,"Adventure,Drama,Musical",8.199999999999996,1.0
498,"Action,Fantasy,Music",8.200000000000001,1.0
499,"Adventure,Comedy,Musical",8.200000000000001,1.0
500,"Crime,Drama,War",8.200000000000001,1.0
501,"Game-Show,Mystery,Reality-TV",8.200000000000001,1.0
502,"Documentary,History,Music",8.207812499999985,1.0
503,"Drama,Fantasy,Musical",8.220634920634913,1.0
504,"Comedy,Fantasy,Short",8.231818181818198,1.0
505,"Animation,Fantasy,Sport",8.299999999999999,1.0
506,"Biography,Documentary,Romance",8.299999999999999,1.0
507,"Biography,Music,Reality-TV",8.299999999999999,1.0
508,"Documentary,Drama,Sport",8.299999999999999,1.0
509,"Documentary,Reality-TV,War",8.299999999999999,1.0
510,"Biography,Drama,Fantasy",8.3,1.0
511,"Action,Mystery,Sci-Fi",8.300000000000006,1.0
512,"History,Mystery,Thriller",8.311111111111103,1.0
513,"Animation,Documentary",8.331102362204732,1.0
