,name,born,primary_title,premiered,runtime_minutes
280,Birgitta Valberg,1916,Studierektorns sista strid,1986,180
281,Blanca Guerra,1953,Un sentimiento honesto en el calabozo del olvido,2019,254
282,Blanche Aubry,1921,Die goldenen Schuhe,1983,290
283,Blandine Ebinger,1899,Der Tod im Apfelbaum,1960,135
284,Blanka Bohdanová,1930,Village Green,2006,520
285,Blanka Péchy,1894,Irgalom,1973,360
286,Bobita,1953,Hero: The Superstar,2014,160
287,Bodil Mannheimer,1935,Järnvägshotellet,2003,174
288,Bonnie Bartlett,1929,The Great Los Angeles Earthquake,1990,180
289,Bonnie Johnson,1941,Nowhere,2016,122
290,Boots Anson-Roa,1945,"Shake, Rattle & Roll 9",2007,130
291,Boots Anson-Roa,1945,Pintakasi,2011,130
292,Boyka Velkova,1958,Uyut,2019,147
293,Bozena Adamek,1952,One Way Ticket to the Moon,2013,123
294,Brenda Blethyn,1946,Atonement,2007,123
295,Brenda Bruce,1919,Macbeth,1983,148
296,Brenda Bruce,1919,The Mad Death,1983,130
297,Brenda Vaccaro,1939,You Don't Know Jack,2010,134
298,Brigid Berlin,1939,The Feature,2008,184
299,Brigitte Horney,1911,Alte Gauner,1985,360
300,Brigitte Mira,1910,Berlin Alexanderplatz,1980,931
301,Bruni Löbel,1920,Wer den Schaden hat...,1981,180
302,Bruni Löbel,1920,Ich heirate eine Familie...,1983,752
303,Bulle Ogier,1939,Two,2002,121
304,Bulle Ogier,1939,The Duchess of Langeais,2007,137
305,Bunney Brooke,1921,Boy in the Bush,1984,240
306,Bélgica Castro,1921,La Recta Provincia,2007,180
307,Bélgica Castro,1921,Litoral,2008,240
308,Camila Amado,1938,Amélia,2001,130
309,Camila Ashland,1911,Sybil,1976,198
310,Camilla Spira,1906,Die Powenzbande,1973,276
311,Camilla Spira,1906,Kabale und Liebe,1967,140
312,Camille Fournier,1905,La pêche miraculeuse,1976,360
313,Camille Keaton,1947,I Spit on Your Grave: Deja Vu,2019,148
314,Carla Calò,1926,Running Away,1989,181
315,Carme Elias,1951,Quién te cantará,2018,125
316,Carmen Maura,1945,Volver,2006,121
317,Carmen Maura,1945,Carta a Eva,2012,174
318,Carmen-Maja Antoni,1945,"Afrika, mon amour",2007,270
319,Carol Jones,1955,Rideshare,2016,242
320,Carrie Daumery,1863,Dorothy Vernon of Haddon Hall,1924,135
321,Carrie Fisher,1956,Star Wars: Episode VIII - The Last Jedi,2017,152
322,Carsta Löck,1902,Sein Traum vom Grand Prix,1968,254
323,Caterina Boratto,1915,Claretta Petacci,1984,127
324,Caterina Boratto,1915,Lulu,1986,240
325,Caterina Boratto,1915,Un amore di Dostoevskij,1978,240
326,Catherine Arditi,1946,Intrusion,2015,140
